raw_url,context,raw_question,raw_answer,annotated_question,is_impossible
definition,"정신 질환을 앓고 있다는 것은 무엇을 의미합니까?정신 질환은 사람의 생각, 감정, 관계 및 일상 기능을 방해하는 건강 상태입니다.",정신 질환을 앓고 있다는 것은 무엇을 의미합니까?,"정신 질환은 사람의 생각, 감정, 관계 및 일상 기능을 방해하는 건강 상태입니다.",정신 질환을 앓고 있다는 것은 무엇을 의미합니까?,O
definition,"정신 건강 질환 정신 질환은 사람의 생각, 감정, 관계 및 일상 기능을 방해하는 건강 상태입니다.",정신 건강 질환이란 무엇입니까?,"정신 질환은 사람의 생각, 감정, 관계 및 일상 기능을 방해하는 건강 상태입니다.",정신 건강 질환이란 무엇입니까?,O
definition,"정신 건강 질환 정신 질환은 사람의 생각, 감정, 관계 및 일상 기능을 방해하는 건강 상태입니다.",정신 건강 질환을 설명하십시오,"정신 질환은 사람의 생각, 감정, 관계 및 일상 기능을 방해하는 건강 상태입니다.",정신 건강 질환을 설명하십시오,O
affects_whom,정신 질환은 누구에게 영향을 미칩니 까?정신 질환은 미국의 성인 5 명 중 1 명에 영향을 미치고 24 명의 성인 중 1 명이 심각한 정신 질환을 앓고있는 것으로 추정됩니다.,정신 질환은 누구에게 영향을 미칩니 까?,정신 질환은 미국의 성인 5 명 중 1 명에 영향을 미치고 24 명의 성인 중 1 명이 심각한 정신 질환을 앓고있는 것으로 추정됩니다.,정신 질환은 누구에게 영향을 미칩니 까?,O
affects_whom,"정신 질환의 영향을받는 사람은 정신 질환이 미국의 성인 5 명 중 1 명, 성인 24 명 중 1 명은 심각한 정신 질환을 앓고있는 것으로 추정됩니다.",정신 질환의 영향을받는 사람,정신 질환은 미국의 성인 5 명 중 1 명에 영향을 미치고 24 명의 성인 중 1 명이 심각한 정신 질환을 앓고있는 것으로 추정됩니다.,정신 질환의 영향을받는 사람,O
what_causes,정신 질환의 원인은 무엇입니까?정신 건강 장애의 증상은 상태의 유형과 심각성에 따라 다릅니다.,정신 질환의 원인은 무엇입니까?,정신 건강 장애의 증상은 상태의 유형과 심각성에 따라 다릅니다.,정신 질환의 원인은 무엇입니까?,O
what_causes,정신 질환으로 이어지는 것은 무엇입니까?정신 건강 장애의 증상은 상태의 유형과 심각성에 따라 다릅니다.,정신 질환으로 이어지는 것은 무엇입니까?,정신 건강 장애의 증상은 상태의 유형과 심각성에 따라 다릅니다.,정신 질환으로 이어지는 것은 무엇입니까?,O
what_causes,정신적으로 어떻게 병에 걸리나요?정신 건강 장애의 증상은 상태의 유형과 심각성에 따라 다릅니다.,정신적으로 어떻게 병에 걸리나요?,정신 건강 장애의 증상은 상태의 유형과 심각성에 따라 다릅니다.,정신적으로 어떻게 병에 걸리나요?,O
recover,정신 질환이있는 사람들이 회복 할 수 있습니까?정신 질환으로부터 치유 할 때 조기 식별 및 치료가 매우 중요합니다.질병의 특성에 따라 다양한 효과적인 치료법이 있습니다.모든 유형의 치료의 경우 영향을받는 사람이 사전 예방 적이며 자신의 회복 과정에 완전히 참여해야합니다.진단 및 치료를받는 정신 질환이있는 많은 사람들이 잘 반응하지만 일부는 증상의 귀환을 경험할 수 있습니다.이러한 경우에도 장애의 신중한 모니터링 및 관리로 인해 성취되고 생산적인 삶을 살 수 있습니다.,정신 질환이있는 사람들이 회복 할 수 있습니까?,정신 질환으로부터 치유 할 때 조기 식별 및 치료가 매우 중요합니다.질병의 특성에 따라 다양한 효과적인 치료법이 있습니다.모든 유형의 치료의 경우 영향을받는 사람이 사전 예방 적이며 자신의 회복 과정에 완전히 참여해야합니다.진단 및 치료를받는 정신 질환이있는 많은 사람들이 잘 반응하지만 일부는 증상의 귀환을 경험할 수 있습니다.이러한 경우에도 장애의 신중한 모니터링 및 관리로 인해 성취되고 생산적인 삶을 살 수 있습니다.,정신 질환이있는 사람들이 회복 할 수 있습니까?,O
recover,정신 질환으로부터 치유 할 때 정신 질환에서 회복 할 수 있습니까? 조기 식별 및 치료가 매우 중요합니다.질병의 특성에 따라 다양한 효과적인 치료법이 있습니다.모든 유형의 치료의 경우 영향을받는 사람이 사전 예방 적이며 자신의 회복 과정에 완전히 참여해야합니다.진단 및 치료를받는 정신 질환이있는 많은 사람들이 잘 반응하지만 일부는 증상의 귀환을 경험할 수 있습니다.이러한 경우에도 장애의 신중한 모니터링 및 관리로 인해 성취되고 생산적인 삶을 살 수 있습니다.,정신 질환에서 회복 할 수 있습니까?,정신 질환으로부터 치유 할 때 조기 식별 및 치료가 매우 중요합니다.질병의 특성에 따라 다양한 효과적인 치료법이 있습니다.모든 유형의 치료의 경우 영향을받는 사람이 사전 예방 적이며 자신의 회복 과정에 완전히 참여해야합니다.진단 및 치료를받는 정신 질환이있는 많은 사람들이 잘 반응하지만 일부는 증상의 귀환을 경험할 수 있습니다.이러한 경우에도 장애의 신중한 모니터링 및 관리로 인해 성취되고 생산적인 삶을 살 수 있습니다.,정신 질환에서 회복 할 수 있습니까?,O
